today	sectionAA1_sub_office	sectionAA2_district	sectionAA3_village	sectionAA3_village_checked	Village_Name	sectionAA5_nationality	sectionAA6_gender	sectionAA7_age	sectionAA8_age_group	sectionAA8a_pregnant	sectionAA8a_caregiver	_GPS_Coordinates_latitude	_GPS_Coordinates_longitude	geo
10/13/2014	akkar	akkar	LBN51224	LBN51224	Rahbe	lebanese	female	32	adult	yes	yes	34.50438222	36.14462323	"34.50438222,36.14462323"
10/13/2014	akkar	akkar	LBN51224	LBN51224	Rahbe	lebanese	female	27	adult	no	no	34.50423839	36.14472407	"34.50423839,36.14472407"
10/13/2014	akkar	akkar	LBN51224	LBN51224	Rahbe	lebanese	female	40	adult	no	yes	34.50313454	36.14650556	"34.50313454,36.14650556"
10/13/2014	akkar	akkar	LBN51224	LBN51224	Rahbe	lebanese	female	28	adult	yes	yes	34.49697748	36.15128433	"34.49697748,36.15128433"
10/13/2014	akkar	akkar	LBN51224	LBN51224	Rahbe	lebanese	female	19	youth	no	no	34.49686709	36.15127704	"34.49686709,36.15127704"
10/13/2014	akkar	akkar	LBN51224	LBN51224	Rahbe	lebanese	female	22	youth	no	no	34.49683365	36.15124209	"34.49683365,36.15124209"
10/13/2014	akkar	akkar	LBN51224	LBN51224	Rahbe	lebanese	female	14	adolescents	no	no	34.50107699	36.14665685	"34.50107699,36.14665685"
10/13/2014	akkar	akkar	LBN51224	LBN51224	Rahbe	lebanese	male	17	adolescents		no	34.51275168	36.14183642	"34.51275168,36.14183642"
10/13/2014	akkar	akkar	LBN51224	LBN51224	Rahbe	lebanese	male	35	adult		yes	34.50442615	36.14464402	"34.50442615,36.14464402"
10/13/2014	akkar	akkar	LBN51224	LBN51224	Rahbe	lebanese	male	24	youth		no	34.5031995	36.1466675	"34.5031995,36.1466675"
10/13/2014	akkar	akkar	LBN51224	LBN51224	Rahbe	lebanese	male	50	adult		yes	34.49648362	36.15022134	"34.49648362,36.15022134"
10/13/2014	akkar	akkar	LBN51224	LBN51224	Rahbe	lebanese	male	39	adult		yes	34.49657285	36.14965028	"34.49657285,36.14965028"
