today	sectionAA1_sub_office	sectionAA2_district	sectionAA3_village	sectionAA3_village_checked	Village Name	sectionAA5_nationality	sectionAA6_gender	sectionAA7_age	sectionAA8_age_group	sectionAA8a_pregnant	sectionAA8a_caregiver	_GPS_Coordinates_latitude	_GPS_Coordinates_longitude
2014-10-13	akkar	akkar	LBN51224	LBN51224	Rahbe	lebanese	female	32	adult	yes	yes	34.50438222	36.14462323
2014-10-13	akkar	akkar	LBN51224	LBN51224	Rahbe	lebanese	female	27	adult	no	no	34.50423839	36.14472407
2014-10-13	akkar	akkar	LBN51224	LBN51224	Rahbe	lebanese	female	40	adult	no	yes	34.50313454	36.14650556
2014-10-13	akkar	akkar	LBN51224	LBN51224	Rahbe	lebanese	female	28	adult	yes	yes	34.49697748	36.15128433
2014-10-13	akkar	akkar	LBN51224	LBN51224	Rahbe	lebanese	female	19	youth	no	no	34.49686709	36.15127704
2014-10-13	akkar	akkar	LBN51224	LBN51224	Rahbe	lebanese	female	22	youth	no	no	34.49683365	36.15124209
2014-10-13	akkar	akkar	LBN51224	LBN51224	Rahbe	lebanese	female	14	adolescents	no	no	34.50107699	36.14665685
2014-10-13	akkar	akkar	LBN51224	LBN51224	Rahbe	lebanese	male	17	adolescents		no	34.51275168	36.14183642
2014-10-13	akkar	akkar	LBN51224	LBN51224	Rahbe	lebanese	male	35	adult		yes	34.50442615	36.14464402
2014-10-13	akkar	akkar	LBN51224	LBN51224	Rahbe	lebanese	male	24	youth		no	34.5031995	36.1466675
2014-10-13	akkar	akkar	LBN51224	LBN51224	Rahbe	lebanese	male	50	adult		yes	34.49648362	36.15022134
2014-10-13	akkar	akkar	LBN51224	LBN51224	Rahbe	lebanese	male	39	adult		yes	34.49657285	36.14965028
2014-10-13	akkar	akkar	LBN51224	LBN51224	Rahbe	lebanese	male	45	adult		yes	34.49709705	36.15189395
2014-10-13	akkar	akkar	LBN51224	LBN51224	Rahbe	lebanese	male	20	youth		no	34.50120242	36.14639919
2014-10-13	akkar	akkar	LBN51039	LBN51039	Bezbina	syrian	male	15	adolescents		no	34.5138179	36.19705891
2014-10-13	akkar	akkar	LBN51039	LBN51039	Bezbina	syrian	male	24	youth		no	34.51365496	36.19706302
2014-10-13	akkar	akkar	LBN51039	LBN51039	Bezbina	syrian	male	24	youth		yes	34.51389778	36.19692338
2014-10-13	akkar	akkar	LBN51039	LBN51039	Bezbina	syrian	male	14	adolescents		no	34.5138257	36.19710493
2014-10-13	akkar	akkar	LBN51039	LBN51039	Bezbina	syrian	male	22	youth		no	34.51558015	36.19593381
2014-10-13	akkar	akkar	LBN51039	LBN51039	Bezbina	syrian	female	29	adult	no	yes	34.51402423	36.19709895
2014-10-13	akkar	akkar	LBN51039	LBN51039	Bezbina	syrian	female	27	adult	no	yes	34.51388094	36.19726527
2014-10-13	akkar	akkar	LBN51039	LBN51039	Bezbina	syrian	female	55	adult	no	yes	34.51363488	36.19700491
2014-10-13	akkar	akkar	LBN51039	LBN51039	Bezbina	syrian	female	19	youth	yes	no	34.51436049	36.19815938
2014-10-13	akkar	akkar	LBN51039	LBN51039	Bezbina	syrian	female	26	adult	no	yes	34.51580633	36.19734675
2014-10-13	akkar	akkar	LBN51039	LBN51039	Bezbina	syrian	female	25	adult	yes	yes	34.51624283	36.19324935
2014-10-13	akkar	akkar	LBN51039	LBN51039	Bezbina	syrian	female	16	adolescents	no	no	34.51543186	36.19152527
2014-10-13	akkar	akkar	LBN51039	LBN51039	Bezbina	syrian	male	25	adult		yes	34.51324709	36.19759158
2014-10-13	akkar	akkar	LBN51039	LBN51039	Bezbina	syrian	male	15	adolescents		no	34.51426466	36.19842885
2014-10-13	akkar	akkar	LBN51039	LBN51039	Bezbina	syrian	male	30	adult		yes	34.51198436	36.19822802
2014-10-13	akkar	akkar	LBN51039	LBN51039	Bezbina	syrian	male	28	adult		yes	34.5139451	36.19852382
